time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
0.00000000e+00,9.30188065e+01,1.85414642e+02,9.96651411e-01,3.50728226e+01,1.24844208e-01,1.22045889e-01,3.12500000e-02
1.47262156e-01,9.31879501e+01,1.78569077e+02,9.58112478e-01,3.50687523e+01,6.92297816e-01,1.20830379e-01,3.10254022e-02
2.94524311e-01,9.37806473e+01,1.72504257e+02,9.19722021e-01,3.50940704e+01,8.05615127e-01,1.22374147e-01,3.03659104e-02
4.41786467e-01,9.48075485e+01,1.66507019e+02,8.78131688e-01,3.51678123e+01,8.66851866e-01,1.25145301e-01,2.93115806e-02
5.89048623e-01,9.62869339e+01,1.60452087e+02,8.33197594e-01,3.53195801e+01,9.08808351e-01,1.29055381e-01,2.79225186e-02
7.36310778e-01,9.82440414e+01,1.54600082e+02,7.86816597e-01,3.55867004e+01,9.47693586e-01,1.34269908e-01,2.62713041e-02
8.83572934e-01,1.00710709e+02,1.49309799e+02,7.41280675e-01,3.60111961e+01,9.90028799e-01,1.40830234e-01,2.44348980e-02
1.03083509e+00,1.03724525e+02,1.44911667e+02,6.98541045e-01,3.66369400e+01,1.03369415e+00,1.48664728e-01,2.24875044e-02
1.17809725e+00,1.07328857e+02,1.41667099e+02,6.59967422e-01,3.75076675e+01,1.08182847e+00,1.57678574e-01,2.04954408e-02
1.32535940e+00,1.11572174e+02,1.39783234e+02,6.26425147e-01,3.86657753e+01,1.13420379e+00,1.68469369e-01,1.85142606e-02
1.47262156e+00,1.16508286e+02,1.39392120e+02,5.98206878e-01,4.01523361e+01,1.19038248e+00,1.79746762e-01,1.65881142e-02
1.61988371e+00,1.22196060e+02,1.40602783e+02,5.75316310e-01,4.20077934e+01,1.24895573e+00,1.88434213e-01,1.47503316e-02
1.76714587e+00,1.28699265e+02,1.43521759e+02,5.57585776e-01,4.42733727e+01,1.31314242e+00,1.93615049e-01,1.30248880e-02
1.91440802e+00,1.36086380e+02,1.48204773e+02,5.44524610e-01,4.69928284e+01,1.37825990e+00,1.96147278e-01,1.14278179e-02
2.06167018e+00,1.44430206e+02,1.54725800e+02,5.35642087e-01,5.02143135e+01,1.45225728e+00,1.96853027e-01,9.96842887e-03
2.20893233e+00,1.53807343e+02,1.63158539e+02,5.30399084e-01,5.39923248e+01,1.54938471e+00,1.96352258e-01,8.65035411e-03
2.35619449e+00,1.64298096e+02,1.73608810e+02,5.28334856e-01,5.83898735e+01,1.63468075e+00,1.94826543e-01,7.47243455e-03
2.50345665e+00,1.75987000e+02,1.85929214e+02,5.28246999e-01,6.34812202e+01,1.66732216e+00,1.92079678e-01,6.42967317e-03
2.65071880e+00,1.88965286e+02,1.99645981e+02,5.28261006e-01,6.93562622e+01,1.69702280e+00,1.87489018e-01,5.51418308e-03
2.79798096e+00,2.03337631e+02,2.13814590e+02,5.25762498e-01,7.61284180e+01,1.70806670e+00,1.81117743e-01,4.71599633e-03
2.94524311e+00,2.19236343e+02,2.31976120e+02,5.29054880e-01,8.39500046e+01,1.69796979e+00,1.76755428e-01,4.02362784e-03
3.09250527e+00,2.36849243e+02,2.56046295e+02,5.40525913e-01,9.30431595e+01,1.67842746e+00,1.73085541e-01,3.42443190e-03
3.23976742e+00,2.56470154e+02,2.79620941e+02,5.45133471e-01,1.03761795e+02,1.68134558e+00,1.68150544e-01,2.90495832e-03
3.38702958e+00,2.78584930e+02,3.03997711e+02,5.45610487e-01,1.16713036e+02,1.68547797e+00,1.64303109e-01,2.45150388e-03
3.53429174e+00,3.04005005e+02,3.31920959e+02,5.45913637e-01,1.32978455e+02,1.70469248e+00,1.61395505e-01,2.05106311e-03
3.68155389e+00,3.34020966e+02,3.64912720e+02,5.46242237e-01,1.54428040e+02,1.72706723e+00,1.59662396e-01,1.69307704e-03
3.82881605e+00,3.70423523e+02,4.06563171e+02,5.48781514e-01,1.83869568e+02,1.74672580e+00,1.59692764e-01,1.37217087e-03
3.97607820e+00,4.15125916e+02,4.56790497e+02,5.50183058e-01,2.24260269e+02,1.76914668e+00,1.71326518e-01,1.08982960e-03
4.12334036e+00,4.69347412e+02,5.22134949e+02,5.56235015e-01,2.76806763e+02,1.77721155e+00,1.98215455e-01,8.51517194e-04
4.27060251e+00,5.32823181e+02,5.95627380e+02,5.58935344e-01,3.40023651e+02,1.79289830e+00,2.38002464e-01,6.60832564e-04
4.41786467e+00,6.03204712e+02,6.80531067e+02,5.64096272e-01,4.09543091e+02,1.81597269e+00,2.76641786e-01,5.17326174e-04
4.56512682e+00,6.76523193e+02,7.38096252e+02,5.45507014e-01,4.77871429e+02,1.82678866e+00,3.13357323e-01,4.15581599e-04
4.71238898e+00,7.49501831e+02,7.80566345e+02,5.20723462e-01,5.36660950e+02,1.83111405e+00,3.43276918e-01,3.44890665e-04
4.85965114e+00,8.19936340e+02,8.46249512e+02,5.16045868e-01,5.85921082e+02,1.83585060e+00,3.30668956e-01,2.95609498e-04
5.00691329e+00,8.85039429e+02,9.16096924e+02,5.17545819e-01,6.26638733e+02,1.84320223e+00,3.11742723e-01,2.62111600e-04
5.15417545e+00,9.43409973e+02,9.79220703e+02,5.18979430e-01,6.59367798e+02,1.85947931e+00,2.81940788e-01,2.39365909e-04
5.30143760e+00,9.94866028e+02,1.04499500e+03,5.25193870e-01,6.84700500e+02,1.87110007e+00,2.65660763e-01,2.23480543e-04
5.44869976e+00,1.04000696e+03,1.09571509e+03,5.26782572e-01,7.01578857e+02,1.85358214e+00,2.60360807e-01,2.11909908e-04
5.59596191e+00,1.08138269e+03,1.13615564e+03,5.25325418e-01,7.12544678e+02,1.81320679e+00,2.58549541e-01,2.02101088e-04
5.74322407e+00,1.12303687e+03,1.19626538e+03,5.32602906e-01,7.20250183e+02,1.76705682e+00,2.58054644e-01,1.91377592e-04
5.89048623e+00,1.17067700e+03,1.23816980e+03,5.28826416e-01,7.35667053e+02,1.71823347e+00,2.62168586e-01,1.77167254e-04
6.03774838e+00,1.23051343e+03,1.28580090e+03,5.22465169e-01,7.70958252e+02,1.65858614e+00,2.54869252e-01,1.58003517e-04
6.18501054e+00,1.30410254e+03,1.35487756e+03,5.19467413e-01,8.26736877e+02,1.60579658e+00,2.53788650e-01,1.35712631e-04
6.33227269e+00,1.39359143e+03,1.46299976e+03,5.24902701e-01,9.11253174e+02,1.56911266e+00,2.64509171e-01,1.13364076e-04
6.47953485e+00,1.50006812e+03,1.59413074e+03,5.31352758e-01,1.03339233e+03,1.54098511e+00,2.72250593e-01,9.37104123e-05
6.62679700e+00,1.59424536e+03,1.70345325e+03,5.34250617e-01,1.09899109e+03,1.51694536e+00,2.94842750e-01,8.09789271e-05
6.77405916e+00,1.63170898e+03,1.72663123e+03,5.29086769e-01,1.05157556e+03,1.50469279e+00,3.18531871e-01,7.73086213e-05
6.92132131e+00,1.66820215e+03,1.72363416e+03,5.16614318e-01,1.05773743e+03,1.48889339e+00,3.23982269e-01,7.49978135e-05
7.06858347e+00,1.73218469e+03,1.80424011e+03,5.20798981e-01,1.10381226e+03,1.48397994e+00,3.15991014e-01,7.03731421e-05
7.21584563e+00,1.82412427e+03,1.94313391e+03,5.32621026e-01,1.18926318e+03,1.47295761e+00,3.10525805e-01,6.32261363e-05
7.36310778e+00,1.93571643e+03,2.06979224e+03,5.34632087e-01,1.29358911e+03,1.45499551e+00,3.01374078e-01,5.51345474e-05
7.51036994e+00,2.04720166e+03,2.20954810e+03,5.39650798e-01,1.36183521e+03,1.45790040e+00,3.00013989e-01,4.84870579e-05
7.65763209e+00,2.15698877e+03,2.32842407e+03,5.39739490e-01,1.41067529e+03,1.45326507e+00,3.02260846e-01,4.34567082e-05
7.80489425e+00,2.28902002e+03,2.47981274e+03,5.41675627e-01,1.50667920e+03,1.45543873e+00,2.98946619e-01,3.83388797e-05
7.95215640e+00,2.45378149e+03,2.65359204e+03,5.40714800e-01,1.65287292e+03,1.45640755e+00,2.99375623e-01,3.27928356e-05
8.09941856e+00,2.63200415e+03,2.83733276e+03,5.39006114e-01,1.79843652e+03,1.45476699e+00,2.99246401e-01,2.76681458e-05
8.24668072e+00,2.80083838e+03,3.00254956e+03,5.36009073e-01,1.92925146e+03,1.47095776e+00,3.00877124e-01,2.41260677e-05
8.39394287e+00,2.95178711e+03,3.12480469e+03,5.29307306e-01,2.07113623e+03,1.47432113e+00,3.08480114e-01,2.17080178e-05
8.54120503e+00,3.12181836e+03,3.31165625e+03,5.30404985e-01,2.22799097e+03,1.47488475e+00,3.13516021e-01,1.91479794e-05
