time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
0.00000000e+00,9.30187836e+01,1.84863083e+02,9.93686855e-01,3.50728149e+01,1.77724048e-01,1.21982910e-01,3.12500000e-02
2.20893233e-01,9.33684387e+01,1.75861160e+02,9.41759109e-01,3.50535126e+01,7.42222786e-01,1.21404700e-01,3.07485051e-02
4.41786467e-01,9.46776962e+01,1.66923355e+02,8.81534755e-01,3.51205482e+01,8.54539990e-01,1.25097200e-01,2.93149035e-02
6.62679700e-01,9.69957047e+01,1.57906235e+02,8.13985765e-01,3.53628464e+01,9.14658546e-01,1.31455988e-01,2.71349866e-02
8.83572934e-01,1.00405762e+02,1.49619095e+02,7.45072246e-01,3.59069366e+01,9.75873768e-01,1.40888751e-01,2.44560279e-02
1.10446617e+00,1.05020279e+02,1.43219818e+02,6.81867421e-01,3.68945923e+01,1.04348993e+00,1.53237671e-01,2.15289295e-02
1.32535940e+00,1.10976151e+02,1.39594543e+02,6.28939331e-01,3.84656906e+01,1.11702228e+00,1.69434264e-01,1.85667183e-02
1.54625263e+00,1.18431267e+02,1.39255966e+02,5.87918937e-01,4.07512169e+01,1.20832157e+00,1.85122296e-01,1.57270189e-02
1.76714587e+00,1.27560577e+02,1.42525604e+02,5.58658481e-01,4.38758125e+01,1.30643630e+00,1.93650246e-01,1.31140379e-02
1.98803910e+00,1.38549835e+02,1.49682755e+02,5.40176570e-01,4.79663925e+01,1.40128279e+00,1.96551397e-01,1.07881557e-02
2.20893233e+00,1.51586502e+02,1.60808548e+02,5.30418456e-01,5.31629829e+01,1.52920926e+00,1.96285054e-01,8.77593644e-03
2.42982557e+00,1.66849625e+02,1.75991013e+02,5.27394116e-01,5.96303177e+01,1.64997566e+00,1.94225699e-01,7.07746297e-03
2.65071880e+00,1.84509003e+02,1.94366333e+02,5.26712358e-01,6.75711899e+01,1.69264817e+00,1.90010518e-01,5.67297311e-03
2.87161203e+00,2.04754654e+02,2.14926300e+02,5.24838626e-01,7.72542877e+01,1.70496905e+00,1.84265360e-01,4.52966057e-03
3.09250527e+00,2.27888107e+02,2.44997437e+02,5.37538886e-01,8.90980988e+01,1.67783844e+00,1.82578951e-01,3.60686891e-03
3.31339850e+00,2.54511841e+02,2.76506104e+02,5.43208718e-01,1.03887306e+02,1.67174602e+00,1.77809954e-01,2.86032911e-03
3.53429174e+00,2.85849762e+02,3.09974915e+02,5.42199016e-01,1.23191002e+02,1.69422960e+00,1.74154907e-01,2.24702084e-03
3.75518497e+00,3.24071106e+02,3.52344818e+02,5.43622673e-01,1.49756226e+02,1.72597063e+00,1.77601859e-01,1.73337071e-03
3.97607820e+00,3.71874695e+02,4.05595123e+02,5.45338392e-01,1.87136154e+02,1.77193487e+00,1.98907018e-01,1.30578200e-03
4.19697144e+00,4.30975098e+02,4.71081543e+02,5.46529889e-01,2.38204971e+02,1.78588557e+00,2.36808375e-01,9.66034946e-04
4.41786467e+00,5.00734375e+02,5.48908386e+02,5.48103392e-01,3.02563782e+02,1.81464660e+00,2.83925027e-01,7.13125046e-04
4.63875790e+00,5.76798523e+02,6.26618530e+02,5.43186665e-01,3.70843994e+02,1.83811820e+00,2.81466246e-01,5.40689914e-04
4.85965114e+00,6.51624146e+02,6.64326294e+02,5.09746492e-01,4.27914307e+02,1.86971712e+00,2.84410119e-01,4.32335975e-04
5.08054437e+00,7.17022827e+02,7.40774902e+02,5.16562998e-01,4.65655212e+02,1.87136316e+00,2.64357686e-01,3.69071378e-04
5.30143760e+00,7.68393066e+02,7.85361877e+02,5.11041760e-01,4.84852875e+02,1.88547027e+00,2.53358960e-01,3.35262012e-04
5.52233084e+00,8.09317749e+02,8.23076843e+02,5.08500397e-01,4.91922760e+02,1.83425057e+00,2.56911367e-01,3.13941360e-04
5.74322407e+00,8.46811462e+02,8.68832458e+02,5.13002276e-01,4.99036713e+02,1.76821208e+00,2.61420220e-01,2.94152094e-04
5.96411730e+00,8.88245667e+02,9.12600952e+02,5.13709724e-01,5.14516052e+02,1.69287038e+00,2.59227902e-01,2.68901407e-04
6.18501054e+00,9.34380554e+02,9.36824097e+02,5.01307547e-01,5.41787598e+02,1.62066126e+00,2.60318786e-01,2.35905929e-04
6.40590377e+00,9.82971985e+02,9.93175537e+02,5.05190134e-01,5.74325439e+02,1.57462847e+00,2.61374146e-01,1.99532020e-04
6.62679700e+00,1.03282922e+03,1.05274829e+03,5.09642959e-01,6.06029541e+02,1.52538180e+00,2.56571472e-01,1.68071827e-04
6.84769024e+00,1.07670959e+03,1.12994690e+03,5.24722219e-01,6.27429626e+02,1.47912705e+00,2.61932820e-01,1.48010586e-04
7.06858347e+00,1.10419495e+03,1.17681348e+03,5.32882988e-01,6.41505005e+02,1.42339647e+00,2.73918718e-01,1.39428535e-04
7.28947670e+00,1.13289844e+03,1.21610535e+03,5.36723018e-01,6.79276611e+02,1.42293692e+00,2.76652813e-01,1.31298846e-04
7.51036994e+00,1.19081860e+03,1.30701733e+03,5.48789442e-01,7.33732849e+02,1.39941251e+00,2.55481422e-01,1.13717229e-04
7.73126317e+00,1.27124707e+03,1.37801392e+03,5.41992962e-01,7.79853821e+02,1.41318929e+00,2.49841079e-01,9.45878564e-05
7.95215640e+00,1.34980579e+03,1.46434192e+03,5.42426884e-01,8.13468933e+02,1.41097271e+00,2.54501581e-01,8.11144782e-05
